dataset,criterion,max_depth,max_features,splitter,accuracy,f1_score
c1000_d100,entropy,10,None,random,0.7136,0.7397
c1000_d1000,entropy,10,None,best,0.7929,0.8040
c1000_d5000,entropy,10,None,best,0.8537,0.8600
c1500_d100,gini,None,sqrt,random,0.7789,0.7843
c1500_d1000,entropy,None,auto,best,0.8899,0.8909
c1500_d5000,entropy,None,None,random,0.9535,0.9541
c1800_d100,gini,3,None,best,0.9045,0.9108
c1800_d1000,entropy,10,None,random,0.9715,0.9718
c1800_d5000,entropy,None,None,best,0.9833,0.9834
c300_d100,entropy,5,auto,best,0.5678,0.5474
c300_d1000,gini,5,None,best,0.6723,0.7093
c300_d5000,gini,10,None,random,0.7840,0.7913
c500_d100,entropy,None,None,best,0.6633,0.6528
c500_d1000,gini,5,None,best,0.6818,0.6867
c500_d5000,entropy,10,None,random,0.7895,0.7987
,,,,,,